Collecting...
Analyzing...
Found 785 different typed gadgets
Collected gadgets saved in ls64.collected
Verifying...
Found 660 different verified gadgets
Verified gadgets saved in ls64.verified
         44239686 function calls (44001934 primitive calls) in 50.960 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    32915    0.100    0.000    0.259    0.000 bv.py:212(BVV)
     6030    0.017    0.000    0.259    0.000 sim_state.py:302(register_plugin)
     2133    0.006    0.000    0.258    0.000 view.py:37(__setattr__)
    17781    0.063    0.000    0.254    0.000 paged_memory.py:426(load_objects)
        1    0.000    0.000    0.253    0.253 __init__.py:17(_find_c_lib)
    32188    0.113    0.000    0.251    0.000 bv.py:47(__init__)
      710    0.009    0.000    0.249    0.000 sim_state.py:48(__init__)
        1    0.000    0.000    0.248    0.248 api.py:99(cdef)
        1    0.000    0.000    0.248    0.248 api.py:114(_cdef)
        1    0.000    0.000    0.248    0.248 cparser.py:309(parse)
        1    0.000    0.000    0.248    0.248 cparser.py:319(_internal_parse)
    12085    0.027    0.000    0.247    0.000 solver.py:357(__getattr__)
    69758    0.186    0.000    0.246    0.000 operations.py:78(_handle_annotations)
       10    0.000    0.000    0.244    0.024 c_parser.py:132(parse)
       10    0.000    0.000    0.243    0.024 yacc.py:323(parse)
        1    0.000    0.000    0.243    0.243 project.py:131(__init__)
       10    0.061    0.006    0.243    0.024 yacc.py:1001(parseopt_notrack)
   122552    0.081    0.000    0.240    0.000 sim_state.py:277(_inspect)
   127960    0.133    0.000    0.232    0.000 abc.py:128(__instancecheck__)
    43377    0.224    0.000    0.230    0.000 unicorn.py:297(reg_read)
        1    0.000    0.000    0.228    0.228 loader.py:81(__init__)
        1    0.000    0.000    0.228    0.228 loader.py:476(_internal_load)
        2    0.001    0.000    0.227    0.114 pickle.py:1375(dump)
137893/113632    0.201    0.000    0.227    0.000 sim_action_object.py:11(_raw_ast)
2255/1994    0.006    0.000    0.227    0.000 bv.py:62(__getitem__)
        2    0.000    0.000    0.227    0.113 pickle.py:220(dump)
  40664/2    0.071    0.000    0.227    0.113 pickle.py:269(save)
   1447/2    0.003    0.000    0.227    0.113 pickle.py:646(save_dict)
   1447/2    0.012    0.000    0.227    0.113 pickle.py:661(_batch_setitems)
   704/18    0.001    0.000    0.226    0.013 pickle.py:597(save_list)
   704/18    0.002    0.000    0.226    0.013 pickle.py:614(_batch_appends)
      353    0.005    0.000    0.223    0.001 successors.py:125(_preprocess_successor)
     4987    0.103    0.000    0.223    0.000 base.py:197(__a_init__)
      566    0.005    0.000    0.220    0.000 operations.py:457(bitwise_and_simplifier)
        3    0.000    0.000    0.210    0.070 loader.py:550(_load_object_isolated)
     3215    0.004    0.000    0.208    0.000 const.py:5(_execute)
        1    0.000    0.000    0.208    0.208 elf.py:33(__init__)
    24768    0.069    0.000    0.205    0.000 base.py:44(_post_process)
     3215    0.016    0.000    0.204    0.000 __init__.py:4(translate_irconst)
2187/1463    0.007    0.000    0.200    0.000 pickle.py:345(save_reduce)
     9546    0.073    0.000    0.200    0.000 base.py:171(_calc_hash)
       61    0.001    0.000    0.199    0.003 ccall.py:10(_execute)
        1    0.001    0.001    0.199    0.199 graph.py:2(<module>)
    65594    0.065    0.000    0.198    0.000 expr.py:815(tag_to_expr_class)
        1    0.004    0.004    0.198    0.198 __init__.py:54(<module>)
      825    0.043    0.000    0.196    0.000 GadgetsCollector.py:232(checkReadMemOpGadget)
    17789    0.036    0.000    0.194    0.000 memory_object.py:43(bytes_at)
     3399    0.193    0.000    0.193    0.000 unicorn.py:404(mem_map)
     4407    0.022    0.000    0.193    0.000 symbolic_memory.py:746(_insert_memory_object)
        1    0.003    0.003    0.192    0.192 z3.py:43(<module>)
      709    0.013    0.000    0.190    0.000 sim_state.py:453(_copy_plugins)
        1    0.000    0.000    0.189    0.189 posix.py:1(<module>)
        1    0.001    0.001    0.186    0.186 file.py:1(<module>)
    20450    0.023    0.000    0.186    0.000 backend_concrete.py:30(BVV)
        1    0.001    0.001    0.185    0.185 symbolic_memory.py:1(<module>)
    90561    0.058    0.000    0.183    0.000 re.py:230(_compile)
