Collecting...
Analyzing...
Found 785 different typed gadgets
Collected gadgets saved in ls64.collected
Verifying...
Found 660 different verified gadgets
Verified gadgets saved in ls64.verified
         44239686 function calls (44001934 primitive calls) in 50.960 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 time.py:3(time)
        2    0.000    0.000    0.000    0.000 yacc.py:3058(get_tokens)
        9    0.000    0.000    0.000    0.000 backend_concrete.py:59(_If)
        1    0.000    0.000    0.000    0.000 function_manager.py:15(FunctionDict)
        1    0.000    0.000    0.000    0.000 z3.py:2042(ArithRef)
        1    0.000    0.000    0.000    0.000 custom_callable.py:12(IdentifierCallable)
        8    0.000    0.000    0.000    0.000 service.py:810(loader)
        1    0.000    0.000    0.000    0.000 keyed_region.py:24(RegionObject)
        1    0.000    0.000    0.000    0.000 __init__.py:252(__init__)
        1    0.000    0.000    0.000    0.000 crash_monitor.py:16(CrashMonitor)
        3    0.000    0.000    0.000    0.000 model.py:572(get_typecache)
        1    0.000    0.000    0.000    0.000 elf.py:310(DT)
        2    0.000    0.000    0.000    0.000 dyld.py:37(dyld_env)
        1    0.000    0.000    0.000    0.000 veritesting.py:161(Veritesting)
        1    0.000    0.000    0.000    0.000 bv.py:21(BV)
        1    0.000    0.000    0.000    0.000 regions.py:3(PESection)
        1    0.000    0.000    0.000    0.000 __init__.py:82(<module>)
       32    0.000    0.000    0.000    0.000 __init__.py:162(sections)
        8    0.000    0.000    0.000    0.000 argparse.py:557(_metavar_formatter)
        1    0.000    0.000    0.000    0.000 pyparsing.py:4119(__init__)
        1    0.000    0.000    0.000    0.000 z3.py:281(AstRef)
        1    0.000    0.000    0.000    0.000 z3.py:3077(BitVecRef)
       10    0.000    0.000    0.000    0.000 six.py:181(_get_module)
        1    0.000    0.000    0.000    0.000 adapters.py:105(FlagsAdapter)
        1    0.000    0.000    0.000    0.000 simplify_skipper_mixin.py:1(SimplifySkipperMixin)
        1    0.000    0.000    0.000    0.000 spiller.py:18(Spiller)
        3    0.000    0.000    0.000    0.000 threading.py:1015(daemon)
        1    0.000    0.000    0.000    0.000 block.py:11(Block)
        1    0.000    0.000    0.000    0.000 driver.py:29(Driver)
       34    0.000    0.000    0.000    0.000 core.py:1210(_sizeof)
        1    0.000    0.000    0.000    0.000 memory.py:67(RegionMap)
        3    0.000    0.000    0.000    0.000 c_parser.py:1646(p_primary_expression_4)
        1    0.000    0.000    0.000    0.000 abstract_memory.py:177(SimAbstractMemory)
        1    0.000    0.000    0.000    0.000 calling_conventions.py:975(SimCCO32LinuxSyscall)
       55    0.000    0.000    0.000    0.000 {imp.release_lock}
        1    0.000    0.000    0.000    0.000 calendar.py:21(IllegalMonthError)
        1    0.000    0.000    0.000    0.000 cfg_job_base.py:109(CFGJobBase)
        1    0.000    0.000    0.000    0.000 constants.py:12(<module>)
        1    0.000    0.000    0.000    0.000 {_elementtree.Element}
        1    0.000    0.000    0.000    0.000 cfg_fast.py:31(Segment)
        1    0.000    0.000    0.000    0.000 sim_action.py:152(SimActionOperation)
        1    0.000    0.000    0.000    0.000 regions.py:4(ELFSegment)
        1    0.000    0.000    0.000    0.000 calling_conventions.py:950(SimCCAArch64LinuxSyscall)
        2    0.000    0.000    0.000    0.000 calling_conventions.py:105(__init__)
        1    0.000    0.000    0.000    0.000 unicorn_const.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1621(EmptyProvider)
        1    0.000    0.000    0.000    0.000 process.py:266(ProcessPoolExecutor)
        1    0.000    0.000    0.000    0.000 yacc.py:285(LRParser)
        1    0.000    0.000    0.000    0.000 reportviews.py:628(OutEdgeDataView)
        1    0.000    0.000    0.000    0.000 argparse.py:983(__init__)
        1    0.000    0.000    0.000    0.000 orderedset.py:5(OrderedSet)
        1    0.000    0.000    0.000    0.000 forward_analysis.py:18(GraphVisitor)
        1    0.000    0.000    0.000    0.000 <string>:1(Arguments)
        1    0.000    0.000    0.000    0.000 {method 'toordinal' of 'datetime.date' objects}
        4    0.000    0.000    0.000    0.000 stmt.py:489(__init__)
        1    0.000    0.000    0.000    0.000 appdirs.py:365(AppDirs)
        1    0.000    0.000    0.000    0.000 manual_mergepoint.py:7(ManualMergepoint)
        1    0.000    0.000    0.000    0.000 mach_o.py:332(MachO)
        1    0.000    0.000    0.000    0.000 ego.py:3(<module>)
        1    0.000    0.000    0.000    0.000 lru.py:8(LRUCache)
        1    0.000    0.000    0.000    0.000 unweighted.py:12(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(RangeEntry)
        1    0.000    0.000    0.000    0.000 service.py:298(__filterCfg)
        1    0.000    0.000    0.000    0.000 plistlib.py:151(DumbXMLWriter)
        1    0.000    0.000    0.000    0.000 fp.py:50(FSort)
        1    0.000    0.000    0.000    0.000 unicorn_engine.py:44(STOP)
        1    0.000    0.000    0.000    0.000 model_cache_mixin.py:73(ModelCacheMixin)
       11    0.000    0.000    0.000    0.000 ux.py:13(deprecated)
        1    0.000    0.000    0.000    0.000 slicecutor.py:52(Slicecutor)
        1    0.000    0.000    0.000    0.000 refactor.py:174(RefactoringTool)
        1    0.000    0.000    0.000    0.000 urllib.py:616(FancyURLopener)
        1    0.000    0.000    0.000    0.000 neighbor_degree.py:7(<module>)
        1    0.000    0.000    0.000    0.000 frontend.py:11(Frontend)
        1    0.000    0.000    0.000    0.000 nx_shp.py:13(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(DwarfConfig)
       18    0.000    0.000    0.000    0.000 util.py:72(debug)
        8    0.000    0.000    0.000    0.000 plyparser.py:69(parameterized)
        1    0.000    0.000    0.000    0.000 vsa_ddg.py:31(VSA_DDG)
        1    0.000    0.000    0.000    0.000 successors.py:6(SimSuccessors)
        1    0.000    0.000    0.000    0.000 util.py:172(Finalize)
        3    0.000    0.000    0.000    0.000 widgets.py:24(string_or_lambda)
        1    0.000    0.000    0.000    0.000 {time.localtime}
        1    0.000    0.000    0.000    0.000 isolate.py:11(<module>)
        1    0.000    0.000    0.000    0.000 composite_frontend.py:384(timeout)
        1    0.000    0.000    0.000    0.000 tempfile.py:108(_RandomNameSequence)
        1    0.000    0.000    0.000    0.000 solvers.py:89(SolverCompositeChild)
       18    0.000    0.000    0.000    0.000 sre_parse.py:140(__delitem__)
        1    0.000    0.000    0.000    0.000 pe.py:313(IMAGE_LOAD_CONFIG_DIRECTORY64)
        2    0.000    0.000    0.000    0.000 dyld.py:31(ensure_utf8)
        1    0.000    0.000    0.000    0.000 charset.py:156(Charset)
        1    0.000    0.000    0.000    0.000 loader.py:403(perform_irelative_relocs)
        6    0.000    0.000    0.000    0.000 opcode.py:39(jabs_op)
        2    0.000    0.000    0.000    0.000 externs.py:75(max_addr)
        1    0.000    0.000    0.000    0.000 __init__.py:636(WorkingSet)
        1    0.000    0.000    0.000    0.000 console.py:63(CallbackClass)
        1    0.000    0.000    0.000    0.000 solver.py:150(concrete_path_tuple)
        1    0.000    0.000    0.000    0.000 codenode.py:74(HookNode)
        1    0.000    0.000    0.000    0.000 solver.py:130(concrete_path_not_bool)
        1    0.000    0.000    0.000    0.000 calling_conventions.py:919(SimCCARM)
        1    0.000    0.000    0.000    0.000 cooldict.py:109(BackedDict)
        1    0.000    0.000    0.000    0.000 specifiers.py:78(_IndividualSpecifier)
        1    0.000    0.000    0.000    0.000 argparse.py:1180(_ActionsContainer)
        1    0.000    0.000    0.000    0.000 code_location.py:2(CodeLocation)
        5    0.000    0.000    0.000    0.000 c_ast.py:770(__init__)
        1    0.000    0.000    0.000    0.000 bool_result.py:76(TrueResult)
        1    0.000    0.000    0.000    0.000 sim_type.py:438(__init__)
        3    0.000    0.000    0.000    0.000 argparse.py:1439(_get_handler)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:452(AddressList)
        1    0.000    0.000    0.000    0.000 sim_type.py:479(SimTypeWString)
        1    0.000    0.000    0.000    0.000 arch_soot.py:5(SootMethodDescriptor)
        1    0.000    0.000    0.000    0.000 markers.py:44(Node)
       18    0.000    0.000    0.000    0.000 lex.py:1089(TOKEN)
        1    0.000    0.000    0.000    0.000 plistlib.py:444(begin_dict)
        1    0.000    0.000    0.000    0.000 pefile.py:985(SectionStructure)
        1    0.000    0.000    0.000    0.000 unicorn.py:15(__init__)
       40    0.000    0.000    0.000    0.000 descriptions.py:393(<genexpr>)
        1    0.000    0.000    0.000    0.000 procedure.py:13(__init__)
        1    0.000    0.000    0.000    0.000 arm64.py:33(Arm64Op)
        1    0.000    0.000    0.000    0.000 centrality.py:10(<module>)
        1    0.000    0.000    0.000    0.000 pe_tls.py:5(PETLSObject)
        2    0.000    0.000    0.000    0.000 pyparsing.py:621(__getattr__)
        1    0.000    0.000    0.000    0.000 elf.py:87(type)
        1    0.000    0.000    0.000    0.000 syscall.py:8(__init__)
        1    0.000    0.000    0.000    0.000 social.py:3(<module>)
        1    0.000    0.000    0.000    0.000 rbtree.py:42(Node)
        1    0.000    0.000    0.000    0.000 newnext.py:37(<module>)
        3    0.000    0.000    0.000    0.000 pickle.py:835(__init__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2486(CaselessKeyword)
        1    0.000    0.000    0.000    0.000 z3.py:4720(ParamDescrsRef)
        1    0.000    0.000    0.000    0.000 calling_conventions.py:1017(SimCCPowerPC)
        1    0.000    0.000    0.000    0.000 thread.py:93(ThreadPoolExecutor)
        1    0.000    0.000    0.000    0.000 ppc.py:21(PpcOpValue)
        1    0.000    0.000    0.000    0.000 expr.py:572(ITE)
       12    0.000    0.000    0.000    0.000 sim_type.py:69(size)
        1    0.000    0.000    0.000    0.000 reassembler.py:222(FunctionLabel)
       12    0.000    0.000    0.000    0.000 __init__.py:101(CFunctionType)
        3    0.000    0.000    0.000    0.000 matchhelpers.py:20(copyfunc)
        1    0.000    0.000    0.000    0.000 pgen.py:347(DFAState)
        8    0.000    0.000    0.000    0.000 heaps.py:140(_inherit_doc)
        4    0.000    0.000    0.000    0.000 expr.py:134(__init__)
        1    0.000    0.000    0.000    0.000 expr.py:261(Qop)
        6    0.000    0.000    0.000    0.000 pyparsing.py:483(haskeys)
        1    0.000    0.000    0.000    0.000 annotation.py:1(Annotation)
       10    0.000    0.000    0.000    0.000 ux.py:14(outer)
        1    0.000    0.000    0.000    0.000 block.py:431(IRTypeEnv)
        1    0.000    0.000    0.000    0.000 z3.py:4776(Goal)
        1    0.000    0.000    0.000    0.000 z3.py:5807(Statistics)
        1    0.000    0.000    0.000    0.000 smetric.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sim_type.py:688(SimStructValue)
        1    0.000    0.000    0.000    0.000 keyed_region.py:81(KeyedRegion)
        4    0.000    0.000    0.000    0.000 {strop.maketrans}
        1    0.000    0.000    0.000    0.000 os.py:512(getenv)
        1    0.000    0.000    0.000    0.000 cache.py:17(Cache)
        1    0.000    0.000    0.000    0.000 pe.py:36(PE)
       12    0.000    0.000    0.000    0.000 {method 'lower' of 'unicode' objects}
        1    0.000    0.000    0.000    0.000 abstract_memory.py:24(MemoryRegion)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3873(__str__)
        1    0.000    0.000    0.000    0.000 backedcgc.py:14(BackedCGC)
        1    0.000    0.000    0.000    0.000 sim_variable.py:117(SimRegisterVariablePhi)
        4    0.000    0.000    0.000    0.000 enum.py:122(__ror__)
        6    0.000    0.000    0.000    0.000 opcode.py:35(jrel_op)
        1    0.000    0.000    0.000    0.000 cpp.py:123(trigraph)
        1    0.000    0.000    0.000    0.000 ddg.py:95(LiveDefinitions)
        1    0.000    0.000    0.000    0.000 backend_vsa.py:12(arg_filter)
        1    0.000    0.000    0.000    0.000 dyld.py:53(dyld_library_path)
        1    0.000    0.000    0.000    0.000 pytree.py:639(WildcardPattern)
        1    0.000    0.000    0.000    0.000 solvers.py:5(Solver)
        1    0.000    0.000    0.000    0.000 threading.py:552(_Event)
       26    0.000    0.000    0.000    0.000 elf.py:841(_classes)
        1    0.000    0.000    0.000    0.000 elf.py:592(LSB_64_EHDR)
        1    0.000    0.000    0.000    0.000 z3.py:8573(FPNumRef)
        1    0.000    0.000    0.000    0.000 b64_decode.py:3(b64_decode)
        1    0.000    0.000    0.000    0.000 reassembler.py:126(Label)
        1    0.000    0.000    0.000    0.000 elf.py:37(EM)
        1    0.000    0.000    0.000    0.000 __init__.py:147(EnumMeta)
        1    0.000    0.000    0.000    0.000 sim_type.py:18(SimType)
        1    0.000    0.000    0.000    0.000 x86.py:25(X86Op)
        1    0.000    0.000    0.000    0.000 backend_z3_parallel.py:12(BackendZ3Parallel)
        3    0.000    0.000    0.000    0.000 contextlib.py:12(__init__)
        1    0.000    0.000    0.000    0.000 solver.py:120(concrete_path_bool)
        2    0.000    0.000    0.000    0.000 pickle.py:889(load_proto)
        1    0.000    0.000    0.000    0.000 c_parser.py:956(p_struct_declarator_2)
        1    0.000    0.000    0.000    0.000 vfg.py:108(CallAnalysis)
        1    0.000    0.000    0.000    0.000 __init__.py:1206(ResourceManager)
        1    0.000    0.000    0.000    0.000 sim_type.py:154(SimTypeNum)
        1    0.000    0.000    0.000    0.000 model.py:102(PrimitiveType)
        1    0.000    0.000    0.000    0.000 expanders.py:7(<module>)
        1    0.000    0.000    0.000    0.000 literals.py:4(<module>)
       10    0.000    0.000    0.000    0.000 graphml.py:338(<genexpr>)
        2    0.000    0.000    0.000    0.000 elffile.py:105(num_segments)
        1    0.000    0.000    0.000    0.000 elf.py:166(SHT)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3674(ParseElementEnhance)
        1    0.000    0.000    0.000    0.000 raw.py:25(Raw)
        1    0.000    0.000    0.000    0.000 pe.py:241(IMAGE_LOAD_CONFIG_DIRECTORY32)
        1    0.000    0.000    0.000    0.000 calling_conventions.py:992(SimCCO64)
        1    0.000    0.000    0.000    0.000 isomorphvf2.py:159(GraphMatcher)
        1    0.000    0.000    0.000    0.000 zipfile.py:262(ZipInfo)
        1    0.000    0.000    0.000    0.000 pyparsing.py:4193(Combine)
        1    0.000    0.000    0.000    0.000 valueset.py:40(RegionAnnotation)
        1    0.000    0.000    0.000    0.000 yacc.py:1309(Production)
        1    0.000    0.000    0.000    0.000 stmt.py:432(Dirty)
       16    0.000    0.000    0.000    0.000 six.py:75(_add_doc)
        1    0.000    0.000    0.000    0.000 function_manager.py:50(FunctionManager)
        1    0.000    0.000    0.000    0.000 calling_conventions.py:1050(SimCCPowerPC64LinuxSyscall)
        1    0.000    0.000    0.000    0.000 jumptable.py:23(JumpTableResolver)
       14    0.000    0.000    0.000    0.000 operations.py:337(<genexpr>)
       10    0.000    0.000    0.000    0.000 <string>:8(__new__)
        1    0.000    0.000    0.000    0.000 globals.py:9(SimStateGlobals)
        1    0.000    0.000    0.000    0.000 callable.py:3(Callable)
        1    0.000    0.000    0.000    0.000 light_frontend.py:8(LightFrontend)
        1    0.000    0.000    0.000    0.000 calling_conventions.py:1042(SimCCPowerPC64)
        1    0.000    0.000    0.000    0.000 cpp.py:159(Preprocessor)
        1    0.000    0.000    0.000    0.000 printer.py:30(Printer)
        1    0.000    0.000    0.000    0.000 widgets.py:144(TimeSensitiveWidgetBase)
        3    0.000    0.000    0.000    0.000 threading.py:999(daemon)
       10    0.000    0.000    0.000    0.000 {method 'endswith' of 'unicode' objects}
        1    0.000    0.000    0.000    0.000 sim_type.py:333(__init__)
        1    0.000    0.000    0.000    0.000 model.py:278(ConstPointerType)
        1    0.000    0.000    0.000    0.000 calling_conventions.py:779(__init__)
        1    0.000    0.000    0.000    0.000 int2str.py:243(int2str_v4)
       22    0.000    0.000    0.000    0.000 __init__.py:229(min_addr)
        8    0.000    0.000    0.000    0.000 argparse.py:199(__init__)
        1    0.000    0.000    0.000    0.000 container.py:22(Container)
       12    0.000    0.000    0.000    0.000 strided_interval.py:14(reversed_processor)
        1    0.000    0.000    0.000    0.000 const.py:51(U1)
        1    0.000    0.000    0.000    0.000 <decorator-gen-382>:1(<module>)
        4    0.000    0.000    0.000    0.000 {method 'join' of 'unicode' objects}
        1    0.000    0.000    0.000    0.000 bdb.py:449(Breakpoint)
        1    0.000    0.000    0.000    0.000 sim_action.py:11(SimAction)
        1    0.000    0.000    0.000    0.000 z3core.py:1275(Z3_del_config)
        1    0.000    0.000    0.000    0.000 __init__.py:1683(ZipProvider)
        1    0.000    0.000    0.000    0.000 log.py:8(SimStateLog)
       29    0.000    0.000    0.000    0.000 c_lexer.py:439(t_INT_CONST_DEC)
        4    0.000    0.000    0.000    0.000 cpp.py:55(t_CPP_STRING)
        3    0.000    0.000    0.000    0.000 cpp.py:314(tokenstrip)
        1    0.000    0.000    0.000    0.000 elf.py:256(R_386)
        1    0.000    0.000    0.000    0.000 yacc.py:2936(ParserReflect)
        1    0.000    0.000    0.000    0.000 scratch.py:8(SimStateScratch)
        1    0.000    0.000    0.000    0.000 Gadget.py:108(BinOp_Gadget)
        1    0.000    0.000    0.000    0.000 dense.py:3(<module>)
        1    0.000    0.000    0.000    0.000 abstract_location.py:11(AbstractLocation)
        1    0.000    0.000    0.000    0.000 metaelf.py:288(_ppc64_abiv1_entry_fix)
        1    0.000    0.000    0.000    0.000 z3.py:8329(FPRef)
        7    0.000    0.000    0.000    0.000 operations.py:539(<genexpr>)
       18    0.000    0.000    0.000    0.000 pyparsing.py:435(__bool__)
        1    0.000    0.000    0.000    0.000 variable_manager.py:287(VariableManager)
        1    0.000    0.000    0.000    0.000 core.py:303(StaticField)
        1    0.000    0.000    0.000    0.000 const.py:209(F64i)
        1    0.000    0.000    0.000    0.000 sections.py:49(NullSection)
        4    0.000    0.000    0.000    0.000 {method '__exit__' of 'thread.lock' objects}
        1    0.000    0.000    0.000    0.000 project.py:22(global_default)
        1    0.000    0.000    0.000    0.000 reassembler.py:822(BasicBlock)
       19    0.000    0.000    0.000    0.000 c_lexer.py:422(t_INT_CONST_HEX)
        1    0.000    0.000    0.000    0.000 metaelf.py:14(MetaELF)
        1    0.000    0.000    0.000    0.000 arch.py:154(ArchitectureX86)
        1    0.000    0.000    0.000    0.000 backward_slice.py:16(BackwardSlice)
        1    0.000    0.000    0.000    0.000 binary_optimizer.py:32(RedundantStackVariable)
        1    0.000    0.000    0.000    0.000 loader.py:242(missing_dependencies)
        1    0.000    0.000    0.000    0.000 calendar.py:132(__init__)
        7    0.000    0.000    0.000    0.000 __init__.py:1705(createLock)
        1    0.000    0.000    0.000    0.000 sim_type.py:626(__init__)
        1    0.000    0.000    0.000    0.000 arch.py:255(_initBadInstructions)
        1    0.000    0.000    0.000    0.000 encoder.py:101(__init__)
        1    0.000    0.000    0.000    0.000 stmt.py:124(Put)
        4    0.000    0.000    0.000    0.000 segments.py:26(__getitem__)
        1    0.000    0.000    0.000    0.000 sysconfig.py:519(get_config_var)
        1    0.000    0.000    0.000    0.000 reportviews.py:109(NodeView)
        3    0.000    0.000    0.000    0.000 lex.py:615(get_literals)
        1    0.000    0.000    0.000    0.000 generic.py:118(RelocTruncate32Mixin)
        1    0.000    0.000    0.000    0.000 mips.py:21(MipsOp)
       13    0.000    0.000    0.000    0.000 __init__.py:149(segments)
        1    0.000    0.000    0.000    0.000 <decorator-gen-155>:1(<module>)
        2    0.000    0.000    0.000    0.000 six.py:164(_SixMetaPathImporter)
        3    0.000    0.000    0.000    0.000 __init__.py:30(__init__)
        1    0.000    0.000    0.000    0.000 io.py:76(BufferedIOBase)
        1    0.000    0.000    0.000    0.000 ast_transforms.py:10(<module>)
        1    0.000    0.000    0.000    0.000 bar.py:28(ProgressBarMixinBase)
        1    0.000    0.000    0.000    0.000 tracer.py:17(Tracer)
        1    0.000    0.000    0.000    0.000 int2str.py:121(int2str_v2)
        1    0.000    0.000    0.000    0.000 container.py:88(FlagsContainer)
        1    0.000    0.000    0.000    0.000 cmd.py:55(Cmd)
        1    0.000    0.000    0.000    0.000 model_cache_mixin.py:7(ModelCache)
        8    0.000    0.000    0.000    0.000 argparse.py:1448(_check_conflict)
        1    0.000    0.000    0.000    0.000 graphviews.py:80(SubDiGraph)
        1    0.000    0.000    0.000    0.000 view.py:7(SimRegNameView)
        1    0.000    0.000    0.000    0.000 elf.py:409(LSB_32_EHDR)
        1    0.000    0.000    0.000    0.000 stmt.py:500(__str__)
        1    0.000    0.000    0.000    0.000 hex_codec.py:57(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 <decorator-gen-223>:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:395(MetaArray)
        1    0.000    0.000    0.000    0.000 sim_type.py:486(__init__)
        1    0.000    0.000    0.000    0.000 misc.py:320(Counter)
        1    0.000    0.000    0.000    0.000 argparse.py:1384(_get_positional_kwargs)
        1    0.000    0.000    0.000    0.000 rawprinter.py:24(RAWPrinter)
        1    0.000    0.000    0.000    0.000 ElementTree.py:171(Element)
        1    0.000    0.000    0.000    0.000 adapters.py:405(Validator)
        1    0.000    0.000    0.000    0.000 semantic.py:622(Slice)
        1    0.000    0.000    0.000    0.000 <string>:1(BaseAddressEntry)
        1    0.000    0.000    0.000    0.000 socket.py:239(_fileobject)
        1    0.000    0.000    0.000    0.000 api.py:880(FFILibrary)
        2    0.000    0.000    0.000    0.000 {signal.signal}
        1    0.000    0.000    0.000    0.000 platform.py:367(_popen)
        1    0.000    0.000    0.000    0.000 elf.py:662(LSB_64)
        1    0.000    0.000    0.000    0.000 graphviews.py:67(SubGraph)
        1    0.000    0.000    0.000    0.000 service.py:786(__init__)
        1    0.000    0.000    0.000    0.000 specifiers.py:589(SpecifierSet)
        1    0.000    0.000    0.000    0.000 elf_tls.py:113(user_thread_pointer)
        1    0.000    0.000    0.000    0.000 address_translator.py:1(AddressTranslator)
        1    0.000    0.000    0.000    0.000 core.py:32(Construct)
        1    0.000    0.000    0.000    0.000 __init__.py:1608(_register)
        1    0.000    0.000    0.000    0.000 _tqdm.py:70(TqdmDefaultWriteLock)
        1    0.000    0.000    0.000    0.000 NoReturnUnconstrained.py:9(NoReturnUnconstrained)
        1    0.000    0.000    0.000    0.000 {_cffi_backend.new_void_type}
        1    0.000    0.000    0.000    0.000 CallReturn.py:6(CallReturn)
        1    0.000    0.000    0.000    0.000 dyld.py:59(dyld_fallback_library_path)
        1    0.000    0.000    0.000    0.000 argparse.py:714(Action)
        1    0.000    0.000    0.000    0.000 synchronize.py:72(SemLock)
        1    0.000    0.000    0.000    0.000 storable.py:9(Storable)
        1    0.000    0.000    0.000    0.000 console.py:1247(MachOConsole)
        1    0.000    0.000    0.000    0.000 mach_o.py:65(CPU_SUBTYPE_X86)
        3    0.000    0.000    0.000    0.000 _osx_support.py:138(<genexpr>)
        1    0.000    0.000    0.000    0.000 z3types.py:97(AstVectorObj)
        1    0.000    0.000    0.000    0.000 _initterm.py:12(_initterm)
        1    0.000    0.000    0.000    0.000 variable_recovery_fast.py:461(VariableRecoveryFast)
        2    0.000    0.000    0.000    0.000 inspect.py:397(getfile)
        1    0.000    0.000    0.000    0.000 dist.py:1011(DistributionMetadata)
        1    0.000    0.000    0.000    0.000 pefile.py:778(Structure)
        4    0.000    0.000    0.000    0.000 string.py:222(lower)
        1    0.000    0.000    0.000    0.000 dynamic.py:32(DynamicTag)
        1    0.000    0.000    0.000    0.000 inspect.py:207(SimInspector)
        1    0.000    0.000    0.000    0.000 stmt.py:10(IRStmt)
        1    0.000    0.000    0.000    0.000 service.py:826(allGadgets)
        1    0.000    0.000    0.000    0.000 blob.py:9(Blob)
        1    0.000    0.000    0.000    0.000 sim_type.py:623(SimStruct)
        1    0.000    0.000    0.000    0.000 concrete_handler_mixin.py:1(ConcreteHandlerMixin)
        1    0.000    0.000    0.000    0.000 __libc_init.py:13(__libc_init)
        1    0.000    0.000    0.000    0.000 c_ast.py:82(NodeVisitor)
        1    0.000    0.000    0.000    0.000 yacc.py:1971(LRTable)
        1    0.000    0.000    0.000    0.000 semantic.py:301(ZExpressions)
        1    0.000    0.000    0.000    0.000 widgets.py:669(DynamicMessage)
        1    0.000    0.000    0.000    0.000 loop_data.py:11(SimStateLoopData)
        1    0.000    0.000    0.000    0.000 region.py:2(Region)
        6    0.000    0.000    0.000    0.000 plistlib.py:423(addObject)
        1    0.000    0.000    0.000    0.000 adapters.py:310(ConstAdapter)
        3    0.000    0.000    0.000    0.000 pickle.py:83(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_cs_arch)
        1    0.000    0.000    0.000    0.000 coloredstring.py:38(cstr)
        1    0.000    0.000    0.000    0.000 __init__.py:337(VersionConflict)
        1    0.000    0.000    0.000    0.000 disassembly.py:338(RegisterOperand)
        1    0.000    0.000    0.000    0.000 sim_type.py:255(SimTypeChar)
        1    0.000    0.000    0.000    0.000 py3compat.py:48(iterkeys)
        1    0.000    0.000    0.000    0.000 mach_o.py:270(LSB_64_Section)
        1    0.000    0.000    0.000    0.000 pyparsing.py:182(ParseBaseException)
        4    0.000    0.000    0.000    0.000 __init__.py:391(__init__)
        2    0.000    0.000    0.000    0.000 segments.py:103(__init__)
        1    0.000    0.000    0.000    0.000 core.py:729(Union)
        8    0.000    0.000    0.000    0.000 loader.py:23(deprecated)
        1    0.000    0.000    0.000    0.000 _monitor.py:6(TMonitor)
        1    0.000    0.000    0.000    0.000 urllib.py:120(URLopener)
        1    0.000    0.000    0.000    0.000 __init__.py:10(__init__)
        4    0.000    0.000    0.000    0.000 codecs.py:253(__init__)
        1    0.000    0.000    0.000    0.000 {math.exp}
        1    0.000    0.000    0.000    0.000 tempfile.py:383(_TemporaryFileWrapper)
        2    0.000    0.000    0.000    0.000 yacc.py:3022(get_start)
        1    0.000    0.000    0.000    0.000 solvers.py:21(SolverCacheless)
        1    0.000    0.000    0.000    0.000 knowledge_base.py:11(__init__)
        1    0.000    0.000    0.000    0.000 newrange.py:30(newrange)
        1    0.000    0.000    0.000    0.000 unicorn.py:108(_uc_mem_region)
        1    0.000    0.000    0.000    0.000 model.py:224(RawFunctionType)
        2    0.000    0.000    0.000    0.000 yacc.py:1972(__init__)
        1    0.000    0.000    0.000    0.000 z3.py:1956(ArithSortRef)
        1    0.000    0.000    0.000    0.000 z3.py:4333(Datatype)
        1    0.000    0.000    0.000    0.000 mincost.py:4(<module>)
        1    0.000    0.000    0.000    0.000 version.py:72(LegacyVersion)
        1    0.000    0.000    0.000    0.000 pytree.py:239(Node)
        1    0.000    0.000    0.000    0.000 ppc.py:29(PpcOp)
        1    0.000    0.000    0.000    0.000 memory_object.py:4(SimMemoryObject)
        1    0.000    0.000    0.000    0.000 const.py:9(IRConst)
        2    0.000    0.000    0.000    0.000 service.py:794(name)
        1    0.000    0.000    0.000    0.000 edgedfs.py:8(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1401(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 disassembly.py:537(Comment)
        1    0.000    0.000    0.000    0.000 forward_analysis.py:261(JobInfo)
        1    0.000    0.000    0.000    0.000 cfg_fast.py:523(MemoryDataReference)
        1    0.000    0.000    0.000    0.000 <decorator-gen-224>:1(<module>)
        2    0.000    0.000    0.000    0.000 elf.py:855(segments)
        3    0.000    0.000    0.000    0.000 threading.py:294(_release_save)
       17    0.000    0.000    0.000    0.000 c_ast.py:400(__init__)
        1    0.000    0.000    0.000    0.000 annotations.py:5(StackLocationAnnotation)
        1    0.000    0.000    0.000    0.000 sim_type.py:430(SimTypeString)
        1    0.000    0.000    0.000    0.000 union_find.py:15(UnionFind)
        1    0.000    0.000    0.000    0.000 console.py:1151(EditConsoleMixin)
        1    0.000    0.000    0.000    0.000 forward_analysis.py:213(CallGraphVisitor)
        1    0.000    0.000    0.000    0.000 widgets.py:251(ETA)
        1    0.000    0.000    0.000    0.000 options.py:28(Options)
        1    0.000    0.000    0.000    0.000 container.py:112(LazyContainer)
